province,rate,sample_size
北京市,8.21,2984
天津市,8.1,3895
河北省,7.28,2534
山西省,7.42,1863
内蒙古自治区,8.36,6974
辽宁省,8.72,5648
吉林省,9.19,1351
黑龙江省,9.59,2255
上海市,7.71,4858
江苏省,7.02,7290
浙江省,7.13,7970
安徽省,8.29,2363
福建省,6.8,5202
江西省,8.48,1038
山东省,7.34,2056
河南省,8.77,2245
湖北省,8.22,3982
湖南省,8.57,3289
广东省,6.48,6034
广西壮族自治区,7.9,4176
海南省,6.07,3240
重庆市,7.47,7324
四川省,7.96,5302
贵州省,8.8,5820
云南省,7.91,6170
西藏自治区,9.28,3243
陕西省,7.93,7217
甘肃省,9.02,921
青海省,9.28,3008
宁夏回族自治区,8.61,1950
新疆维吾尔自治区,9.13,828
台湾省,6.97,7974
香港特别行政区,7.69,1446
澳门特别行政区,7.46,4109
