特征,随机森林重要性,梯度提升重要性,逻辑回归系数
ADL生活自理能力,0.21621572391544028,0.22753726866925514,-1.1803656112560423
睡眠时长_小时,0.20743770126935762,0.20675551204346132,-1.1840016818341772
慢性病数量,0.1404305917003156,0.16370613456905045,1.1201841595778994
社会活动参与度,0.07892837859607428,0.0722995633135043,-0.6639786894121268
BMI,0.07205699925087145,0.058261605864182615,0.37632307386431496
年龄,0.07010042594196372,0.08052716676646879,0.5534491795250123
子女月联系次数,0.04680279669560225,0.03679754779869208,-0.17458412866574363
性别_女,0.04166551986974449,0.04032594973119014,0.7536901383024025
教育年数,0.031828690584949776,0.028791391120962607,-0.39409182129811426
收入_数值,0.030865877172063714,0.03143385538609031,-0.5346087884360082
城乡_农村,0.028187895998153224,0.03266445804280917,0.5126911893957669
是否独居,0.01675423047330638,0.010963598716746693,0.35986554560035794
吸烟,0.009528939377196677,0.00613860740319388,0.11834862693522982
饮酒,0.009196229154960595,0.003797340574392325,0.06774488437804564
