特征,随机森林重要性,梯度提升重要性,逻辑回归系数
社会支持,0.2462072846126283,0.23058248879442922,-1.682315994333735
经济压力,0.17081883581281812,0.17033873377010256,1.4493833058209116
睡眠时长_小时,0.12967004269006263,0.14428267744500256,-1.2117989953733914
学业压力,0.10090390514492334,0.10630581267138559,1.005470656836404
亲密关系质量,0.09387160033010075,0.09556521726678062,-1.0621138449095537
童年不良经历,0.06697131462979751,0.0834216373522141,1.0218811996144253
日均屏幕时长_小时,0.0636692722039985,0.05559694248616476,0.5918863512365284
家族史,0.033835980163814866,0.04875567790612528,0.7397710590605459
性别_女,0.030615980898232018,0.029078740257327068,0.6152974263490617
年龄,0.02395979879587879,0.004654504184081157,0.01121419734076083
每周运动次数,0.018243308474507416,0.008521783005894337,-0.17542866657409273
年级_大四,0.007431084330894186,0.007038845464363794,0.29227194784183186
吸烟,0.003974561210905055,0.002882076484587395,0.12907597619455802
饮酒,0.0038014414765990146,0.0023466442631098145,0.13580253744873796
慢性疾病,0.0036702277551550265,0.009066697557990796,0.31647188589175607
年级_研究生,0.0023553614696845185,0.0015615210904409429,0.18766485865372484
